"","id","county","model_turnout","actual_turnout","repub","dem","oth","model_support","county_model_turnout","county_actual_turnout","county_dev","pc_dev","pc_county_ratio","pc_sd","t","cut1","twoway"
"52","Alexandria City209","ALEXANDRIA CITY",1978.471,1568,"380","1154","34","0.77697",46182.385804,45296,0.0195687434652066,0.261779974489796,13.3774544571675,0.221052882524742,55.9931827886575,FALSE,0.752281616688396
"53","Alexandria City307","ALEXANDRIA CITY",1532.798469,1235,"290","915","30","0.758677849",46182.385804,45296,0.0195687434652066,0.241132363562753,12.3223222784584,0.221052882524742,51.2199712084331,FALSE,0.759336099585062
"54","Alexandria City210","ALEXANDRIA CITY",1061.71,770,"237","524","9","0.725802",46182.385804,45296,0.0195687434652066,0.378844155844156,19.3596567157081,0.221052882524742,83.0554956172224,FALSE,0.688567674113009
"55","Alexandria City104","ALEXANDRIA CITY",2016.069232,1727,"421","1254","52","0.755404139",46182.385804,45296,0.0195687434652066,0.167382299942096,8.55355379560795,0.221052882524742,34.1707998074284,FALSE,0.74865671641791
"56","Alexandria City103","ALEXANDRIA CITY",2134.466542,1706,"547","1124","35","0.685193741",46182.385804,45296,0.0195687434652066,0.25115272098476,12.8343815959012,0.221052882524742,53.5364273957233,FALSE,0.672651107121484
"57","Alexandria City109","ALEXANDRIA CITY",2067.051388,1860,"567","1236","57","0.709295522",46182.385804,45296,0.0195687434652066,0.111317950537634,5.68855893765273,0.221052882524742,21.2101234967065,FALSE,0.685524126455907
"58","Alexandria City308","ALEXANDRIA CITY",1847.999,1546,"549","964","33","0.669078",46182.385804,45296,0.0195687434652066,0.195342173350582,9.98235649099813,0.221052882524742,40.6344237107731,FALSE,0.637144745538665
"59","Alexandria City105","ALEXANDRIA CITY",1970.275795,1575,"442","1091","42","0.687252778",46182.385804,45296,0.0195687434652066,0.250968758730159,12.8249807748966,0.221052882524742,53.4938999204097,FALSE,0.711676451402479
"60","Alexandria City101","ALEXANDRIA CITY",1309.533266,1053,"347","686","20","0.709033775",46182.385804,45296,0.0195687434652066,0.243621335232668,12.4495134634387,0.221052882524742,51.7953592491933,FALSE,0.664085188770571
"61","Alexandria City205","ALEXANDRIA CITY",2063.528611,1715,"557","1122","36","0.700617897",46182.385804,45296,0.0195687434652066,0.203223679883382,10.3851164610909,0.221052882524742,42.4564310308889,FALSE,0.668254913639071
"62","Alexandria City207","ALEXANDRIA CITY",2068.977,1699,"573","1095","31","0.714426",46182.385804,45296,0.0195687434652066,0.217761624484991,11.1280330733638,0.221052882524742,45.8172404615905,FALSE,0.656474820143885
"63","Alexandria City106","ALEXANDRIA CITY",1878.48361,1510,"298","1177","35","0.804485233",46182.385804,45296,0.0195687434652066,0.244028880794702,12.4703398165849,0.221052882524742,51.8895735969472,FALSE,0.797966101694915
"64","Alexandria City303","ALEXANDRIA CITY",1607.298529,1221,"241","945","35","0.791391551",46182.385804,45296,0.0195687434652066,0.316378811629812,16.1675588518157,0.221052882524742,68.6150692928332,FALSE,0.796795952782462
"65","Alexandria City203","ALEXANDRIA CITY",1590.799635,1386,"359","998","29","0.764196398",46182.385804,45296,0.0195687434652066,0.147763084415584,7.55097457730531,0.221052882524742,29.635327540106,FALSE,0.735445836403832
"66","Alexandria City107","ALEXANDRIA CITY",2414.256,2095,"491","1567","37","0.787779",46182.385804,45296,0.0195687434652066,0.152389498806683,7.78739314957204,0.221052882524742,30.7048389147893,FALSE,0.761418853255588
"67","Alexandria City102","ALEXANDRIA CITY",1599.614271,1285,"488","775","22","0.651835883",46182.385804,45296,0.0195687434652066,0.244836008560311,12.5115855801182,0.221052882524742,52.0761613630156,FALSE,0.613618368962787
