id,county,model_turnout,actual_turnout,repub,dem,oth,county_model_turnout,county_actual_turnout,county_dev,pc_dev,pc_county_ratio,pc_sd,t,modeled_support
Albemarle202,Albemarle,1009.842406,0,--,--,--,37079.4411,30362,0.221245013,Inf,Inf,0.050925751,Inf,0.663518956
Alexandria City206,Alexandria City,1462.349,1183,333,832,18,46182.3858,37350,0.236476193,0.236136095,0.998561808,0.10605576,0.013560717,0.723042
Alexandria City209,Alexandria City,1978.471,1568,380,1154,34,46182.3858,37350,0.236476193,0.261779974,1.107003506,0.10605576,1.008936297,0.77697
Alexandria City307,Alexandria City,1532.798469,1235,290,915,30,46182.3858,37350,0.236476193,0.241132364,1.019689807,0.10605576,0.185655238,0.758677849
Alexandria City210,Alexandria City,1061.71,770,237,524,9,46182.3858,37350,0.236476193,0.378844156,1.602039306,0.10605576,5.676629984,0.725802
Alexandria City104,Alexandria City,2016.069232,1727,421,1254,52,46182.3858,37350,0.236476193,0.1673823,0.707818821,0.10605576,2.754977006,0.755404139
Alexandria City103,Alexandria City,2134.466542,1706,547,1124,35,46182.3858,37350,0.236476193,0.251152721,1.062063449,0.10605576,0.585196401,0.685193741
Alexandria City109,Alexandria City,2067.051388,1860,567,1236,57,46182.3858,37350,0.236476193,0.111317951,0.470736395,0.10605576,4.990427737,0.709295522
Alexandria City308,Alexandria City,1847.999,1546,549,964,33,46182.3858,37350,0.236476193,0.195342173,0.826054289,0.10605576,1.640134506,0.669078
Alexandria City105,Alexandria City,1970.275795,1575,442,1091,42,46182.3858,37350,0.236476193,0.250968759,1.061285517,0.10605576,0.577861284,0.687252778
Alexandria City101,Alexandria City,1309.533266,1053,347,686,20,46182.3858,37350,0.236476193,0.243621335,1.03021506,0.10605576,0.284897869,0.709033775
Alexandria City205,Alexandria City,2063.528611,1715,557,1122,36,46182.3858,37350,0.236476193,0.20322368,0.859383253,0.10605576,1.325875628,0.700617897
Alexandria City207,Alexandria City,2068.977,1699,573,1095,31,46182.3858,37350,0.236476193,0.217761624,0.920860666,0.10605576,0.74620496,0.714426
Alexandria City106,Alexandria City,1878.48361,1510,298,1177,35,46182.3858,37350,0.236476193,0.244028881,1.031938471,0.10605576,0.301147911,0.804485233
Alexandria City303,Alexandria City,1607.298529,1221,241,945,35,46182.3858,37350,0.236476193,0.316378812,1.337888638,0.10605576,3.185952738,0.791391551
Alexandria City203,Alexandria City,1590.799635,1386,359,998,29,46182.3858,37350,0.236476193,0.147763084,0.624853955,0.10605576,3.537252911,0.764196398
Alexandria City107,Alexandria City,2414.256,2095,491,1567,37,46182.3858,37350,0.236476193,0.152389499,0.64441793,0.10605576,3.352784144,0.787779
Alexandria City102,Alexandria City,1599.614271,1285,488,775,22,46182.3858,37350,0.236476193,0.244836009,1.035351617,0.10605576,0.333330472,0.651835883
Alexandria City108,Alexandria City,2188.89636,1905,398,1463,44,46182.3858,37350,0.236476193,0.149026961,0.630198579,0.10605576,3.486858444,0.78470828
Alexandria City302,Alexandria City,1257.763629,888,196,676,16,46182.3858,37350,0.236476193,0.416400483,1.760855831,0.10605576,7.174111362,0.800808853
Alexandria City304,Alexandria City,1919.444,1402,309,1061,32,46182.3858,37350,0.236476193,0.369075606,1.560730498,0.10605576,5.287129142,0.79145
Alexandria City306,Alexandria City,1702.977,1167,226,911,30,46182.3858,37350,0.236476193,0.459277635,1.942172822,0.10605576,8.883749688,0.802537
